Owner,Player,Years Kept
gnemos,Sony Michel,2
gnemos,DeAndre Hopkins,2
gnemos,Corey Davis,2
gocampo3619,Ja'Marr Chase,1
gocampo3619,Mark Andrews,1
gocampo3619,Kyle Pitts,1
Ninked,Javonte Williams,1
Ninked,Amon-Ra St. Brown,1
Ninked,CeeDee Lamb,2
JbMcc13,Marquise Brown,1
JbMcc13,D'Andre Swift,2
JbMcc13,Elijah Moore,1
kruse47,Austin Ekeler,1
kruse47,Cooper Kupp,1
kruse47,Dalton Schultz,1
Trickydick514,Josh Allen,1
Emrtz,Mike Williams,2
Emrtz,Najee Harris,1
Emrtz,Justin Jefferson,2
chilliah,Tee Higgins,2
chilliah,Hunter Renfrow,1
chilliah,Elijah Mitchell,1
RazorMuffin,Russell Wilson,2
RazorMuffin,Jerry Jeudy,1
RazorMuffin,Alvin Kamara,2
Andjita,J.K. Dobbins,1
Andjita,Jonathan Taylor,2
Andjita,Brandin Cooks,1
larrrl,Deebo Samuel,1
larrrl,Jaylen Waddle,1
MeatWizard,James Conner,1
MeatWizard,Cam Akers,1
MeatWizard,Michael Pittman,1
