Owner,Player,Years Kept
Trickydick514,Travis Kelce,1
Trickydick514,Josh Allen,1
Trickydick514,A.J. Brown,2
TxRider,Kyler Murray,2
TxRider,Jonathan Taylor,1
TxRider,Tee Higgins,1
TxRider,Damien Harris,1
TxRider,Justin Herbert,1
RazorMuffin,Jerry Jeudy,1
RazorMuffin,Darrell Henderson,1
TexAgg10,Derrick Henry,2
TexAgg10,Allen Robinson,2
TexAgg10,T.J. Hockenson,1
Robbietee,Cooper Kupp,2
Robbietee,Marquise Brown,2
Emrtz,D.K. Metcalf,1
Emrtz,Antonio Gibson,1
Emrtz,Deebo Samuel,1
Emrtz,Mike Williams,1
Ninked,Calvin Ridley,2
Ninked,Courtland Sutton,2
Ninked,Terry McLaurin,2
Ninked,Chase Claypool,1
Ninked,James Robinson,1
chilliah,Lamar Jackson,2
chilliah,Darren Waller,2
chilliah,Austin Ekeler,2
Andjita,Dak Prescott,2
Andjita,D'Andre Swift,1
Andjita,Myles Gaskin,1
Andjita,Brandon Aiyuk,1
