Owner,Player,Years Kept
Trickydick514,Josh Allen,2
ThinkSchwartz,Jonathan Taylor,2
ThinkSchwartz,Tee Higgins,2
ThinkSchwartz,DJ Moore,1
ThinkSchwartz,Justin Herbert,2
ThinkSchwartz,Damien Harris,2
RazorMuffin,Jerry Jeudy,2
RazorMuffin,CeeDee Lamb,1
TexAgg10,James Conner,1
TexAgg10,Dak Prescott,1
TexAgg10,Christian Kirk,1
Robbietee,Buffalo Bills,1
Emrtz,Justin Jefferson,1
Emrtz,Brandin Cooks,1
Emrtz,Deebo Samuel,2
Emrtz,Mike Williams,2
Ninked,Chase Claypool,2
Ninked,James Robinson,2
Andjita,Derrick Henry,1
Andjita,D'Andre Swift,2
Andjita,Darnell Mooney,1
Andjita,Cam Akers,1
MeatWizard,Diontae Johnson,1
MeatWizard,Jaylen Waddle,1
MeatWizard,Chase Edmonds,1
MeatWizard,Rhamondre Stevenson,1
MeatWizard,Rashod Bateman,1
Furl,Elijah Mitchell,1
Furl,Brandon Aiyuk,2
Furl,Alexander Mattison,1
angeltorres363,Leonard Fournette,1
angeltorres363,Dalton Schultz,1
angeltorres363,Devin Singletary,1
angeltorres363,Derek Carr,1
