Owner,Player,Years Kept
Trickydick514,Ronald Jones,1
Trickydick514,A.J. Brown,1
Trickydick514,Robby Anderson,1
MeatWizard,Joe Mixon,1
MeatWizard,Aaron Jones,1
MeatWizard,Chris Godwin,1
MeatWizard,Miles Sanders,1
MeatWizard,Michael Gallup,1
TxRider,Kyler Murray,1
TxRider,Melvin Gordon,1
TxRider,D.J. Chark,1
angeltorres363,Kenyan Drake,1
angeltorres363,Devin Singletary,1
angeltorres363,Will Fuller,1
chilliah,Amari Cooper,1
chilliah,Darren Waller,1
chilliah,Chris Carson,1
chilliah,Austin Ekeler,1
chilliah,Lamar Jackson,1
jtcoleman13,Marquise Brown,1
jtcoleman13,Cooper Kupp,1
TxAgg10,Allen Robinson,1
TxAgg10,Derrick Henry,1
TxAgg10,Mark Ingram,1
TxAgg10,Tom Brady,1
TxAgg10,Golden Tate,1
Ninked,Calvin Ridley,1
Ninked,Courtland Sutton,1
Ninked,Terry McLaurin,1
Andjita,Dak Prescott,1
Andjita,Tyler Lockett,1
Andjita,Matt Breida,1
Andjita,John Brown,1
