Owner,Player,Years Kept
younggizzle,Ja'Marr Chase,2
younggizzle,Kenneth Walker,1
younggizzle,Chris Olave,1
Ninked,Patrick Mahomes,1
Ninked,Amon-Ra St. Brown,2
Ninked,Tyler Allgeier,1
JbMcc13,Justin Fields,1
JbMcc13,Miles Sanders,1
JbMcc13,DK Metcalf,1
kruse47,Rhamondre Stevenson,1
kruse47,Brandon Aiyuk,1
kruse47,DeVonta Smith,1
Trickydick514,Josh Allen,2
Trickydick514,Travis Kelce,1
Emrtz,Travis Etienne,1
Emrtz,A.J. Brown,1
Emrtz,George Pickens,1
chilliah,Jalen Hurts,1
chilliah,Christian Kirk,1
Robbietee,Josh Jacobs,1
Andjita,Tony Pollard,1
larrrl,Deebo Samuel,2
larrrl,Jaylen Waddle,2
MeatWizard,Rachaad White,1
MeatWizard,Christian Watson,1
